setup_id,description,model_kind,feature_set,data_regime,action_space,n_estimators,random_state,notes
B0_apdtm_cls_apdtm_features_original,APDTM faithful baseline: original APDTM meta-database only.,classifier,apdtm,apdtm_original,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B1_apdtm_cls_apdtm_features_original_plus_cash_real,APDTM classifier with original APDTM plus CASH real APDTM-feature rows.,classifier,apdtm,apdtm_original_plus_cash_real,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B2_apdtm_cls_cash_features_cash_real_default,"APDTM-style classifier trained on CASH features, real logs only.",classifier,cash,cash_real,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B3_apdtm_cls_cash_features_cash_real_synthetic_default,"APDTM-style classifier trained on CASH features, real plus synthetic logs.",classifier,cash,cash_real_synthetic,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
B4_apdtm_cls_cash_features_cash_full_clean_default,"APDTM-style classifier trained on CASH features, full CASH dataset.",classifier,cash,cash_full,apdtm5_default,100,10,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
C0_cash_reg_apdtm_features_cash_real_default,CASH-style regressor using APDTM features and APDTM default metrics on real logs.,regressor,apdtm,cash_real,apdtm5_default,200,42,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
C1_cash_reg_cash_features_cash_real_default,"CASH regressor using CASH features, real logs only, APDTM-5 default representatives.",regressor,cash,cash_real,apdtm5_default,200,42,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,"CASH regressor, full CASH dataset, APDTM-5 default representatives.",regressor,cash,cash_full,apdtm5_default,200,42,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,"CASH regressor, full CASH dataset, APDTM-compatible algorithms with hyperparameters.",regressor,cash,cash_full,apdtm5_hparams,200,42,
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,"CASH regressor, full CASH dataset, all CASH algorithms default representatives.",regressor,cash,cash_full,cash_all_default,200,42,Default-only CASH rows prefer recorded v6_baseline_* rows; fallback is all-empty hyperparameters or nearest documented default when no baseline row exists.
C5_cash_reg_cash_features_cash_full_clean_all_algos_hparams,"CASH regressor, full CASH dataset, all CASH algorithms and observed hyperparameters.",regressor,cash,cash_full,cash_all_hparams,200,42,
